,Division,Name,"FY 2011 
Actual Average Teacher Salary","FY 2012 
Actual Average Teacher Salary",FY 2011 to FY 2012 Percent Increase/ (Decrease),"FY 2013 
Budgeted Average Teacher Salary",FY 2012 to FY 2013 Percent Increase/ (Decrease)
0,001,Accomack County Public Schools,38600.0,38727.0,0.33,38862.0,0.35
1,002,Albemarle County Public Schools,51512.0,50959.0,-1.07,54543.0,7.03
2,003,Alleghany County Public Schools,47114.0,47184.0,0.15,47661.0,1.01
3,004,Amelia County Public Schools,44762.0,45581.0,1.83,47403.0,4.0
4,005,Amherst County Public Schools,43684.0,43609.0,-0.17,45799.0,5.02
5,006,Appomattox County Public Schools,41177.0,40133.0,-2.54,45131.0,12.45
6,007,Arlington County Public Schools,68979.0,69185.0,0.3,74425.0,7.57
7,008,Augusta County Public Schools,43692.0,43669.0,-0.05,43119.0,-1.26
8,009,Bath County Public Schools,41715.0,43288.0,3.77,46905.0,8.35
9,010,Bedford County Public Schools1,41023.0,41599.0,1.4,41391.0,-0.5
10,011,Bland County Public Schools,41583.0,42225.0,1.54,41153.0,-2.54
11,012,Botetourt County Public Schools,48130.0,47622.0,-1.05,44771.0,-5.99
12,013,Brunswick County Public Schools,39216.0,39404.0,0.48,41306.0,4.83
13,014,Buchanan County Public Schools,39532.0,40044.0,1.3,33927.0,-15.28
14,015,Buckingham County Public Schools,42426.0,40797.0,-3.84,44544.0,9.19
15,016,Campbell County Public Schools,41605.0,40884.0,-1.73,41733.0,2.08
16,017,Caroline County Public Schools,42473.0,42523.0,0.12,45820.0,7.75
17,018,Carroll County Public Schools,42371.0,40442.0,-4.55,41238.0,1.97
18,019,Charles City County Public Schools,40379.0,40408.0,0.07,43068.0,6.58
19,020,Charlotte County Public Schools,41092.0,41057.0,-0.09,48717.0,18.66
20,021,Chesterfield County Public Schools,48233.0,47273.0,-1.99,47256.0,-0.04
21,022,Clarke County Public Schools,47771.0,46852.0,-1.92,50692.0,8.2
22,023,Craig County Public Schools,40557.0,41442.0,2.18,43660.0,5.35
23,024,Culpeper County Public Schools,45811.0,47252.0,3.15,48562.0,2.77
24,025,Cumberland County Public Schools,42935.0,44634.0,3.96,42770.0,-4.18
25,026,Dickenson County Public Schools,41776.0,42123.0,0.83,42268.0,0.34
26,027,Dinwiddie County Public Schools,46594.0,45107.0,-3.19,42912.0,-4.87
27,028,Essex County Public Schools,46262.0,45899.0,-0.79,42888.0,-6.56
28,029,Fairfax County Public Schools2,62074.0,63203.0,1.82,61035.0,-3.43
29,030,Fauquier County Public Schools,54615.0,54975.0,0.66,52224.0,-5.0
30,031,Floyd County Public Schools,42772.0,42542.0,-0.54,42580.0,0.09
31,032,Fluvanna County Public Schools,50822.0,50376.0,-0.88,50570.0,0.38
32,033,Franklin County Public Schools,43314.0,43895.0,1.34,44399.0,1.15
33,034,Frederick County Public Schools,47672.0,47490.0,-0.38,49825.0,4.92
34,035,Giles County Public Schools,39458.0,38340.0,-2.83,37325.0,-2.65
35,036,Gloucester County Public Schools,46306.0,46108.0,-0.43,49800.0,8.01
36,037,Goochland County Public Schools,43196.0,43212.0,0.04,44212.0,2.32
37,038,Grayson County Public Schools,35744.0,36507.0,2.13,40503.0,10.95
38,039,Greene County Public Schools,44099.0,44959.0,1.95,45079.0,0.27
39,040,Greensville County Public Schools3,45179.0,44913.0,-0.59,45690.0,1.73
40,041,Halifax County Public Schools,38660.0,41869.0,8.3,40157.0,-4.09
41,042,Hanover County Public Schools,47103.0,48174.0,2.27,51081.0,6.04
42,043,Henrico County Public Schools,48827.0,51723.0,5.93,54295.0,4.97
43,044,Henry County Public Schools,42518.0,43860.0,3.16,39277.0,-10.45
44,045,Highland County Public Schools,44056.0,43734.0,-0.73,43305.0,-0.98
45,046,Isle Of Wight County Public Schools,51959.0,53025.0,2.05,53701.0,1.27
46,048,King George County Public Schools,50361.0,47401.0,-5.88,50243.0,5.99
47,049,King And Queen County Public Schools,45994.0,48784.0,6.07,43611.0,-10.6
48,050,King William County Public Schools,46105.0,46382.0,0.6,45915.0,-1.01
49,051,Lancaster County Public Schools,43432.0,42685.0,-1.72,46614.0,9.2
50,052,Lee County Public Schools,37924.0,40343.0,6.38,41171.0,2.05
51,053,Loudoun County Public Schools,59237.0,60646.0,2.38,60875.0,0.38
52,054,Louisa County Public Schools,47014.0,47013.0,-0.0,45851.0,-2.47
53,055,Lunenburg County Public Schools,40003.0,47668.0,19.16,39601.0,-16.92
54,056,Madison County Public Schools,42745.0,43103.0,0.84,45005.0,4.41
55,057,Mathews County Public Schools,39857.0,40404.0,1.37,40832.0,1.06
56,058,Mecklenburg County Public Schools,41481.0,48805.0,17.66,50118.0,2.69
57,059,Middlesex County Public Schools,41103.0,42099.0,2.42,46225.0,9.8
58,060,Montgomery County Public Schools,45999.0,46297.0,0.65,45603.0,-1.5
59,062,Nelson County Public Schools,47643.0,47432.0,-0.44,48055.0,1.31
60,063,New Kent County Public Schools,44629.0,46128.0,3.36,42932.0,-6.93
61,065,Northampton County Public Schools,41666.0,36962.0,-11.29,39389.0,6.57
62,066,Northumberland County Public Schools,46290.0,48748.0,5.31,50750.0,4.11
63,067,Nottoway County Public Schools,42625.0,47509.0,11.46,46914.0,-1.25
64,068,Orange County Public Schools,45185.0,45567.0,0.85,46954.0,3.04
65,069,Page County Public Schools,41177.0,41014.0,-0.4,44560.0,8.65
66,070,Patrick County Public Schools,40534.0,41441.0,2.24,42898.0,3.52
67,071,Pittsylvania County Public Schools,41567.0,41076.0,-1.18,41233.0,0.38
68,072,Powhatan County Public Schools,47508.0,47646.0,0.29,49234.0,3.33
69,073,Prince Edward County Public Schools,40675.0,44127.0,8.49,44976.0,1.92
70,074,Prince George County Public Schools,49834.0,49658.0,-0.35,49129.0,-1.07
71,075,Prince William County Public Schools,60993.0,61855.0,1.41,55710.0,-9.93
72,077,Pulaski County Public Schools,42757.0,42420.0,-0.79,48055.0,13.28
73,078,Rappahannock County Public Schools,47393.0,45941.0,-3.06,48174.0,4.86
74,079,Richmond County Public Schools,48277.0,47626.0,-1.35,49661.0,4.27
75,080,Roanoke County Public Schools,48712.0,48267.0,-0.91,50629.0,4.9
76,081,Rockbridge County Public Schools,46535.0,45216.0,-2.84,48305.0,6.83
77,082,Rockingham County Public Schools,44452.0,45039.0,1.32,45434.0,0.88
78,083,Russell County Public Schools,38884.0,36271.0,-6.72,40970.0,12.95
79,084,Scott County Public Schools,45500.0,45582.0,0.18,46445.0,1.89
80,085,Shenandoah County Public Schools,45115.0,44177.0,-2.08,50843.0,15.09
81,086,Smyth County Public Schools,43453.0,43590.0,0.31,41869.0,-3.95
82,087,Southampton County Public Schools,43537.0,44012.0,1.09,43969.0,-0.1
83,088,Spotsylvania County Public Schools,51491.0,51373.0,-0.23,51616.0,0.47
84,089,Stafford County Public Schools,53241.0,53038.0,-0.38,52198.0,-1.58
85,090,Surry County Public Schools,47645.0,50020.0,4.98,41224.0,-17.59
86,091,Sussex County Public Schools,49262.0,51080.0,3.69,47847.0,-6.33
87,092,Tazewell County Public Schools,43660.0,42846.0,-1.86,39039.0,-8.88
88,093,Warren County Public Schools,45960.0,45096.0,-1.88,46507.0,3.13
89,094,Washington County Public Schools,44484.0,44205.0,-0.63,47806.0,8.15
90,095,Westmoreland County Public Schools,42212.0,41794.0,-0.99,43269.0,3.53
91,096,Wise County Public Schools,47742.0,47487.0,-0.53,38105.0,-19.76
92,097,Wythe County Public Schools,43160.0,44752.0,3.69,48071.0,7.42
93,098,York County Public Schools,48831.0,48101.0,-1.5,47937.0,-0.34
94,101,Alexandria City Public Schools,70183.0,70696.0,0.73,74330.0,5.14
95,102,Bristol City Public Schools,42672.0,45342.0,6.26,44532.0,-1.79
96,103,Buena Vista City Public Schools,40793.0,41397.0,1.48,38086.0,-8.0
97,104,Charlottesville City Public Schools,52660.0,52790.0,0.25,58673.0,11.14
98,106,Colonial Heights City Public Schools,51880.0,50451.0,-2.75,52713.0,4.48
99,107,Covington City Public Schools,50039.0,51412.0,2.74,47256.0,-8.08
100,108,Danville City Public Schools,46586.0,45898.0,-1.48,46708.0,1.76
101,109,Falls Church City Public Schools,62956.0,63273.0,0.5,66784.0,5.55
102,110,Fredericksburg City Public Schools,46035.0,45704.0,-0.72,46543.0,1.84
103,111,Galax City Public Schools,43379.0,45100.0,3.97,47379.0,5.05
104,112,Hampton City Public Schools,44205.0,45137.0,2.11,45520.0,0.85
105,113,Harrisonburg City Public Schools,45474.0,45439.0,-0.08,45619.0,0.4
106,114,Hopewell City Public Schools,45360.0,45013.0,-0.77,48708.0,8.21
107,115,Lynchburg City Public Schools,46213.0,41960.0,-9.2,40322.0,-3.9
108,116,Martinsville City Public Schools,43504.0,42969.0,-1.23,43121.0,0.35
109,117,Newport News City Public Schools,47009.0,48228.0,2.59,49179.0,1.97
110,118,Norfolk City Public Schools,48711.0,48967.0,0.52,56714.0,15.82
111,119,Norton City Public Schools,44113.0,40934.0,-7.21,38445.0,-6.08
112,120,Petersburg City Public Schools,45307.0,40644.0,-10.29,41267.0,1.53
113,121,Portsmouth City Public Schools,36268.0,36517.0,0.69,37506.0,2.71
114,122,Radford City Public Schools,48813.0,48016.0,-1.63,50349.0,4.86
115,123,Richmond City Public Schools,48345.0,50485.0,4.43,49511.0,-1.93
116,124,Roanoke City Public Schools,44425.0,48039.0,8.13,52445.0,9.17
117,126,Staunton City Public Schools,44839.0,41588.0,-7.25,40499.0,-2.62
118,127,Suffolk City Public Schools,49280.0,48516.0,-1.55,46549.0,-4.05
119,128,Virginia Beach City Public Schools,52732.0,53201.0,0.89,53586.0,0.72
120,130,Waynesboro City Public Schools,43048.0,44929.0,4.37,45031.0,0.23
121,131,Williamsburg Public Schools4,51923.0,51572.0,-0.68,51535.0,-0.07
122,132,Winchester City Public Schools,50170.0,51256.0,2.16,54178.0,5.7
123,135,Franklin City Public Schools,44459.0,45159.0,1.57,49402.0,9.4
124,136,Chesapeake City Public Schools,54548.0,53043.0,-2.76,54506.0,2.76
125,137,Lexington City Public Schools,41829.0,45733.0,9.33,48294.0,5.6
126,139,Salem City Public Schools,53186.0,54493.0,2.46,56552.0,3.78
127,142,Poquoson City Public Schools,46396.0,45984.0,-0.89,42437.0,-7.71
128,143,Manassas City Public Schools,61950.0,63340.0,2.24,62095.0,-1.97
129,144,Manassas Park City Public Schools,56230.0,56934.0,1.25,54891.0,-3.59
130,202,Colonial Beach Public Schools,41592.0,38843.0,-6.61,39681.0,2.16
131,207,West Point Public Schools,41721.0,41751.0,0.07,45430.0,8.81
