,Accomack County,Albemarle County,Alleghany County,Amelia County,Amherst County,Appomattox County,Arlington County,Augusta County,Bath County,Bedford County,Bland County,Botetourt County,Brunswick County,Buchanan County,Buckingham County,Campbell County,Caroline County,Carroll County,Charles City County,Charlotte County,Chesterfield County,Clarke County,Craig County,Culpeper County,Cumberland County,Dickenson County,Dinwiddie County,Essex County,Fairfax County,Fauquier County,Floyd County,Fluvanna County,Franklin County,Frederick County,Giles County,Gloucester County,Goochland County,Grayson County,Greene County,Greensville County,Halifax County,Hanover County,Henrico County,Henry County,Highland County,Isle of Wight County,James City County,King and Queen County,King George County,King William County,Lancaster County,Lee County,Loudoun County,Louisa County,Lunenburg County,Madison County,Mathews County,Mecklenburg County,Middlesex County,Montgomery County,Nelson County,New Kent County,Northampton County,Northumberland County,Nottoway County,Orange County,Page County,Patrick County,Pittsylvania County,Powhatan County,Prince Edward County,Prince George County,Prince William County,Pulaski County,Rappahannock County,Richmond County,Roanoke County,Rockbridge County,Rockingham County,Russell County,Scott County,Shenandoah County,Smyth County,Southampton County,Spotsylvania County,Stafford County,Surry County,Sussex County,Tazewell County,Warren County,Washington County,Westmoreland County,Wise County,Wythe County,York County,Alexandria City,Bristol City,Buena Vista City,Charlottesville City,Chesapeake City,Colonial Heights City,Covington City,Danville City,Emporia City,Fairfax City,Falls Church City,Franklin City,Fredericksburg City,Galax City,Hampton City,Harrisonburg City,Hopewell City,Lexington City,Lynchburg City,Manassas City,Manassas Park City,Martinsville City,Newport News City,Norfolk City,Norton City,Petersburg City,Poquoson City,Portsmouth City,Radford City,Richmond City,Roanoke City,Salem City,Staunton City,Suffolk City,Virginia Beach City,Waynesboro City,Williamsburg City,Winchester City
2000,38203,84688,17196,11465,31885,13695,189361,65838,5037,60645,6844,30574,18420,26820,15623,51199,22136,29298,6936,12466,261031,12692,5088,34435,9000,16338,24645,9987,975728,55533,13940,20192,47490,59616,16742,34873,16934,16856,15361,11555,37307,87020,263530,57979,2537,29874,48523,6628,16899,13188,11584,23541,173919,25763,13089,12544,9177,32379,9987,83829,14459,13533,13030,12233,15750,25993,23209,19402,61788,22598,19734,33120,284369,35191,7090,8781,85812,20858,67853,29271,23338,35256,33099,17481,91496,93532,6839,12480,44453,31579,51165,16689,42168,27664,56831,129343,17322,6357,40199,200315,16905,6296,48219,5666,21593,10398,8285,19373,6857,146315,40467,22279,6819,65361,34924,10332,15348,180276,234521,3875,33637,11586,100408,15884,197900,94937,24793,23852,64200,426711,19610,11997,23695
2001,37891,86092,16539,11439,31796,13668,191169,66085,5007,61132,6895,30494,18319,26256,15666,50972,22187,29427,7047,12577,265118,12901,5099,34976,9046,15965,24699,9984,994811,57061,14111,21224,48360,61324,16642,34959,17204,16863,15808,11657,37123,89294,268421,57385,2562,30065,50308,6770,16993,13395,11345,23386,190529,26454,13036,12618,9196,32453,10046,84624,14317,13811,12840,12402,15672,26528,23277,19145,62182,23147,20224,33178,298439,35139,7030,8896,86747,20892,68663,29518,23038,36178,33282,17819,97438,97995,6838,12290,43703,32279,51150,16731,41612,27871,57540,132862,17526,6296,40215,202531,16850,6344,47404,5599,21958,10943,8284,19827,6836,144927,41480,22258,6988,65774,36570,11181,15278,179407,234974,3879,32977,11532,98746,16000,196237,95551,24834,23491,67249,427412,19534,12389,24049
2002,37156,87172,17025,11668,31562,13660,191028,66953,5017,61340,6884,30763,18584,25983,15771,51240,22290,29576,7096,12680,270765,13127,5097,35823,9227,16082,24926,9978,1008153,58074,14338,22289,49115,62863,16790,35099,17942,16713,16235,11842,37083,91150,272393,56878,2536,30414,52094,6828,17487,13560,11431,24194,208891,26789,12985,12834,9230,32368,10031,85027,14542,14209,12645,12385,15626,27056,23453,19007,62081,24039,20589,34193,313993,34773,7014,9016,86579,20998,69318,29141,22943,36859,32848,17844,102892,104052,6759,12073,43762,32938,51389,16596,41358,27864,59135,134437,17254,6274,40371,204193,16946,6184,46659,5727,22262,11007,8175,20380,6706,144030,42280,22033,6917,66470,36906,11826,15214,179912,235405,3818,32908,11598,98147,15671,196084,95680,24820,23586,69263,427996,19734,12691,24607
2003,36598,88858,16827,11777,31475,13634,191249,67642,4968,62095,6882,31079,18351,25553,16024,51239,22922,29623,7100,12527,276829,13333,5111,37149,9384,16160,25337,10044,1014497,59055,14328,23039,49667,64789,16665,35281,18327,16590,16463,12196,36625,93063,277156,56169,2481,30904,53514,6912,18052,13623,11392,24860,224492,27234,12944,12957,9192,32487,10103,85819,14627,14594,12580,12366,15572,27576,23628,18764,61668,24650,20387,35144,329471,34677,6936,9150,87401,21370,69660,29296,22735,37763,32530,17651,107428,109572,6735,12292,44126,33706,51409,16424,41324,27957,59592,132820,17292,6241,40289,206712,16912,6055,46004,5642,22405,11067,8334,20640,6808,142218,42842,21915,6744,67354,37112,12216,14911,180993,236550,3810,32704,11593,97488,15465,195610,94612,24535,22627,72212,429831,19658,13287,24959
2004,36124,90645,16800,11864,31413,13814,190359,68873,4894,63325,6907,31422,18353,25258,16271,51606,23713,29913,7210,12591,284356,13507,5108,38929,9473,16197,25907,10177,1024938,60677,14637,24040,50528,67055,16728,35586,18687,16396,16717,12212,36588,95119,283802,56001,2486,31578,55760,6928,19213,13873,11312,25269,244012,28109,12921,13158,9207,32355,10318,87573,14597,15366,12590,12282,15576,28463,23775,18779,61639,25320,20818,35320,347576,34719,7019,9267,88510,21570,70755,28828,22867,38583,32335,17783,111562,114787,6745,12123,44490,34333,51653,16456,41532,28288,61513,131344,17410,6473,40939,210793,17024,5871,45700,5518,22052,10708,8420,21342,6902,142365,43409,21835,6736,68318,37600,12574,14422,181767,238649,3755,32351,11800,97569,15588,195418,94891,24451,22611,75908,436139,19882,13437,25346
2005,35526,91349,16869,12002,31766,13779,187696,69895,4878,64488,6949,31799,18265,24848,16163,52034,25026,29546,7135,12509,292004,13948,4968,41540,9632,16091,26265,10270,1027268,62184,14775,24624,51245,69559,16635,35758,19426,16134,16793,12353,36538,95865,287525,55284,2454,32359,58216,7181,20313,14241,11408,25117,262768,29308,12931,13247,8971,32469,10399,88944,14669,16012,12736,12336,15670,29757,23808,18560,61669,26074,21239,35288,363937,34781,7109,9395,89319,21737,71336,28502,22865,39467,32246,17955,115277,118761,6783,12021,44283,35324,52026,16550,41348,28323,62048,130137,17493,6488,41233,214341,17159,5780,45173,5448,21802,11053,8524,21723,6940,142682,44325,21694,6939,69340,37262,13223,14211,180995,239395,3725,31852,11924,97785,15906,194474,95159,24617,22997,78322,436156,20108,13343,25683
2006,35019,94224,16959,12418,32563,14557,193721,71753,5120,66645,6962,32844,18688,24080,16569,53299,25908,30439,7296,12774,297399,13766,5167,43316,9792,15684,26265,10627,1031231,62449,14930,24164,53071,72006,17045,36360,19952,16007,17163,11932,37013,96841,291368,56183,2487,33019,60467,7228,20861,14261,11667,24900,268971,30280,13067,13334,9123,33220,10610,89822,14598,16866,12664,12342,15607,31378,24195,18634,62645,26245,21967,34702,366966,35643,7341,9043,89808,22378,72790,28388,22876,40594,32430,17827,117873,118778,7053,12185,44231,36015,52767,16675,41086,28656,62068,132902,17340,6597,42805,215503,17183,5789,44292,5591,21452,11103,8598,22044,6921,141978,45104,21794,7015,70490,37179,13666,14388,181545,239354,3636,32612,12057,97452,16143,197175,95972,24561,22855,79566,435001,20374,13410,25762
2007,34442,94090,16651,12236,32211,14286,197411,72831,4843,66715,6855,32674,18262,24490,16772,53441,27275,30252,7214,12393,302342,14005,5153,45217,9712,16133,26896,10596,1035137,63789,14931,25138,53610,74076,16861,36202,20310,15889,17680,12492,36342,97544,296073,55121,2451,33959,62495,7289,22094,15021,11506,25228,278985,31219,12992,13344,8909,32613,10618,91040,14783,17126,12647,12509,15429,32066,23973,18515,62410,27087,22312,34711,374757,35389,7245,9493,90292,22313,73924,28531,23141,41076,32242,18814,118863,122597,6904,12117,44037,36591,53350,16932,41095,28701,63226,133708,17425,6405,41915,216192,17295,5835,43852,5436,21680,11372,8574,22651,6823,140689,45751,22191,6936,72331,37233,13653,14025,180892,241941,3738,31810,12041,96858,16191,198834,95457,24312,23004,81102,434057,20318,13415,25813
2008,33967,96346,16626,12548,32585,14685,200615,73700,4897,67616,6856,33176,18488,24536,16902,54401,27798,30540,7282,12584,308421,14222,5203,45974,9859,16055,27566,10783,1050214,64593,15074,25410,55056,75667,17096,36438,20905,15812,17862,12350,36502,98635,300235,55324,2400,34592,63792,7121,22807,15451,11565,25585,289142,32205,12959,13280,9052,32606,10749,93126,15290,17550,12591,12350,15601,32925,24056,18415,63515,27240,22907,35613,381565,35648,7230,9383,91494,22450,74769,29017,23398,41777,32399,19192,120332,123974,7045,12200,45090,37123,53930,17177,41373,29194,64131,135590,17662,6649,42431,217875,17412,5966,44116,5837,22099,11645,8633,22899,6958,140476,46659,22496,6894,73833,36765,13648,14290,181497,242983,3849,32380,12069,96499,16425,201309,96791,24591,23462,82039,436943,20707,13573,25962
2009,33548,97694,16504,12574,32645,14726,195667,74101,4863,68003,6818,33373,18339,24384,17153,54928,28070,30646,7264,12528,311559,13977,5133,45824,10028,16012,27610,10946,1070053,64496,15232,25327,55356,76586,17280,36776,21261,15778,18048,12401,36448,98872,304622,54918,2389,34844,64996,7027,23234,15691,11487,25500,309640,32598,13020,13263,8973,32697,10866,93714,15012,17970,12580,12342,15779,33138,24003,18769,63643,27567,23004,35813,397382,35180,7348,9364,92253,22497,75656,28883,23116,41834,32367,18401,120233,125434,7074,12305,45254,37248,54688,17379,41766,29280,64932,132167,17919,6648,43237,219794,17490,5983,43595,5899,22682,12053,8480,23353,7101,139232,48134,22331,7007,75203,37413,13764,14160,181218,243956,3849,32398,12112,96281,16063,198201,97844,24828,23611,82615,437274,20923,13758,26071
2010,33164,98970,16250,12690,32353,14973,207627,73750,4731,68676,6824,33148,17434,24098,17146,54842,28545,30042,7256,12586,316236,14034,5190,46689,10052,15903,28001,11151,1081726,65203,15279,25691,56159,78305,17286,36858,21717,15533,18403,12243,36241,99863,306935,54151,2321,35270,67009,6945,23584,15935,11391,25587,312311,33153,12914,13308,8978,32727,10959,94392,15020,18429,12389,12330,15853,33481,24042,18490,63506,28046,23368,35725,402002,34872,7373,9254,92376,22307,76314,28897,23177,41993,32208,18570,122397,128961,7058,12087,45078,37575,54876,17454,41452,29235,65464,139966,17835,6650,43475,222209,17411,5961,43055,5927,22565,12332,8582,24286,7042,137436,48914,22591,7042,75568,37821,14273,13821,180719,242803,3958,32420,12150,95535,16408,204214,97032,24802,23746,84585,437994,21006,14068,26203
2011,33334,100780,16179,12840,32495,15021,214372,73791,4796,75515,6747,33398,17400,24005,17143,54759,28825,29747,7290,12564,319640,14210,5241,47144,10100,15761,28018,11287,1096023,65779,15484,25988,56299,79156,17278,36986,21752,15470,19041,12131,36183,100703,310741,53867,2294,35457,68873,7048,23332,16158,11463,25675,324336,33456,12966,13424,8936,32936,11064,94995,15091,18826,12432,12449,15907,33715,24154,18634,62986,28289,23518,35828,414531,34634,7410,9236,92687,22155,77296,29014,23273,42113,32104,18713,123996,131066,6968,12055,45275,37687,55179,17460,41024,29390,65973,143463,17780,6880,44471,225897,17556,6091,43331,5945,22865,12567,8680,25483,7125,137371,50056,22778,7197,76448,39059,14539,13901,181026,243984,4099,32947,12240,96368,16531,206237,97205,24970,24222,85692,441245,21098,14255,26166
2012,33522,101575,15937,12720,32532,15185,220565,73815,4773,75809,6767,33293,17395,23990,17296,55030,29115,29976,7180,12560,322388,14276,5258,47732,10145,15747,28314,11202,1112325,66131,15542,26033,56616,80118,17486,36976,21169,15381,18856,12136,36242,101327,314881,53889,2288,36180,69546,7427,23945,16014,11359,25705,333253,33707,12919,13472,8883,32173,11009,95626,15078,19257,12441,12466,15855,33999,24215,18691,63125,28394,23380,35915,421164,34599,7457,9317,93256,22090,77551,28890,23445,42812,32112,18678,124526,132719,6927,12139,44695,38077,55479,17703,40796,29564,66428,147391,17702,6714,45073,228210,17626,6420,43400,5932,23505,12960,8839,26024,7176,138848,50862,22845,7356,77203,39902,14838,13908,183331,245803,4193,33112,12291,97450,16714,208834,98641,25267,24512,86463,447489,21378,14503,27208
2013,33612,102731,15961,12759,32476,15270,227146,74504,4756,76309,6768,33423,17275,23867,17185,56136,29481,29462,7268,12497,326950,14148,5305,48223,10191,15660,28864,11077,1116897,66573,15726,26019,56574,81207,17446,37232,21400,15412,19320,11581,36074,101702,316973,53560,2311,36462,70231,7410,24460,16148,11370,25665,347969,34211,12765,13333,8850,31980,11089,96867,15031,19791,12089,12387,15975,34143,24079,18737,63167,28451,23274,35986,431258,34657,7470,9182,92703,22338,78102,28311,23223,42889,31984,18872,125555,135141,6977,12159,44665,38387,55207,17656,40256,29390,66955,151218,17728,6836,46623,232977,17073,6259,42912,6170,23938,13315,8655,27945,7052,139032,52127,22707,7332,77376,40690,15174,13706,183412,246392,4057,32781,12076,96871,17139,211172,98913,25274,24577,87831,449628,21015,14893,26961
2014,33870,103707,15909,12824,32595,15573,229302,74642,4771,77213,6805,33521,17235,23754,17152,56232,29727,29682,7249,12641,330043,14323,5275,48558,10141,15741,28971,11088,1118884,67512,15641,25970,56793,82059,17399,37225,21703,16374,19618,11605,36178,102714,318019,53273,2297,36172,71140,7072,24739,16354,11322,25804,361708,34317,12661,13353,8882,32052,11061,97405,15074,20164,12207,12385,16104,34487,24083,18718,63545,28706,23264,36435,437636,34871,7431,9183,93569,22390,78953,28636,23181,42916,32014,18783,126337,138230,6967,12090,44654,38814,54943,17885,40197,29350,67396,155230,17690,6867,47783,235638,17273,6233,42975,6153,24730,13522,8560,28213,7141,138545,52612,22846,7329,77874,41830,15427,13741,183362,246394,4013,32421,12212,96802,17441,213504,99320,25330,24647,89586,451672,21661,15064,27200
2015,33516,105051,15515,12909,32028,15455,234678,74881,4727,77575,6684,33486,16930,22983,16988,56167,29792,29283,7331,12454,333450,14206,5192,48908,9989,15339,28753,10914,1129330,67898,15430,26162,56373,82623,17179,37072,22277,16087,19840,11804,35766,104013,320717,52822,2277,36438,73325,7190,24600,16253,11297,25182,374451,34244,12435,13099,8737,31608,11082,98121,14993,20468,12176,12220,16261,34015,23719,18450,63255,28442,23631,37131,443463,34841,7308,9119,93775,22163,79134,28008,22759,42228,31417,18551,128998,140176,6819,11887,44051,38829,54130,17725,39943,28743,69466,159571,17625,6817,48210,238283,17215,6198,42544,6082,23193,14183,8535,26969,7043,138626,53875,22984,7410,78675,41577,15700,13474,183454,247189,3946,32057,12359,96874,17420,217938,99681,25438,24542,90426,453500,21795,14860,27515
2016,33330,105715,15561,12856,32140,15388,236691,74809,4652,77465,6571,33176,16687,22473,16913,55562,29704,29074,7253,12316,333963,14240,5216,49388,9857,14996,28363,10792,1137290,68168,15321,26133,56205,83998,17024,36983,22312,15926,19785,11625,35584,105210,321233,52352,2300,37074,73615,7156,24724,16333,11236,24653,385327,34316,12365,13099,8647,31347,11049,98509,14835,20895,12139,12089,16106,33777,23586,18039,62614,28696,23593,36656,448050,34577,7308,9029,93924,22241,79735,27697,22733,41938,31052,18242,129668,141915,6743,11745,43369,39181,53410,17695,39501,28462,68585,159464,17669,6502,49071,240485,17312,5965,41967,5983,23257,14123,8597,27025,6829,137492,54224,22901,7301,79531,41616,15802,13544,183218,247087,3857,32018,12287,96179,17228,221679,99644,25476,24453,91722,453628,21837,15429,27531
2017,33041,107697,15405,12948,31982,15536,239074,75013,4556,77807,6511,33350,16581,22004,16957,55503,29990,29212,7151,12231,340020,14312,5129,50272,9861,14682,28500,10813,1143429,69098,15550,26467,56427,85820,17053,37169,22705,15669,19985,11563,35215,106375,324395,51975,2284,37333,74722,6935,25381,16627,11171,24363,396068,35035,12386,13190,8651,31264,11004,98776,14858,21709,12000,12053,15845,34521,23665,17930,62166,29166,23223,37025,455990,34467,7288,9094,93735,22596,80666,27309,22377,42525,30686,18119,131549,145699,6674,11655,42574,39239,53789,17760,39133,28723,68890,160719,17160,6424,49132,242655,17320,5850,41358,5797,23825,14269,8474,27645,6748,136743,54689,22817,7284,80380,41783,16142,13382,182155,246256,3882,31705,12311,95440,17208,222853,99908,25679,24761,92533,454448,21955,15404,28005
2018,32769,108639,15144,12995,31867,15679,241031,75254,4429,78329,6432,33288,16481,21576,16952,55425,30292,29141,7017,12021,346357,14400,5094,51282,9820,14516,28502,10780,1145978,70150,15643,26692,56127,87776,16931,37194,23176,15330,19959,11473,34647,107357,326993,51438,2265,37492,75837,6940,25863,16916,10979,23994,406355,36021,12236,13278,8704,30985,10889,99433,14836,22462,11862,12075,15659,35582,23833,17790,61640,29524,23249,37212,463046,34183,7219,9145,93672,22539,81422,27057,22121,42940,30475,17851,133441,149110,6584,11473,41973,39630,53992,17911,38386,28650,68725,161050,16877,6351,49281,243868,17562,5716,40590,5531,24552,14460,8308,28387,6587,135629,54606,22767,7362,81339,42053,16528,13119,181119,245741,3908,31746,12320,94953,18041,226919,100033,25704,24972,92714,453410,22285,15183,28282
2019,32561,109722,14952,13053,31766,15818,242152,75831,4318,78581,6364,33494,16292,21295,17075,55480,30318,29137,7016,11928,350760,14360,5108,51998,9855,14299,28667,10765,1143528,70580,15561,27038,55782,88830,16757,37090,23472,15445,20097,11408,34329,107928,328999,51019,2246,37649,75907,6902,26016,17133,10829,23810,413546,36620,12246,13251,8645,30917,10712,100073,14794,23066,11810,11981,15413,35921,23857,17752,61002,29867,22959,37350,465498,34097,7285,9192,93805,22500,82208,26830,21892,42987,30075,17855,135715,151689,6561,11449,41332,39936,53417,17895,37752,28480,69407,159152,17018,6454,49181,245745,17194,5694,39932,5589,23943,14331,8261,28532,6545,135753,53997,22718,7432,80783,41757,16636,12793,181000,245054,3879,31430,12395,94581,18044,226841,99348,25363,24971,93825,452643,22183,15383,28180
2020,32694,110545,14933,13142,31851,16000,242465,76395,4341,78984,6410,33684,16316,21380,17162,55648,30342,29367,7036,11936,355079,14522,5123,52494,9920,14331,28814,10849,1146163,70996,15670,27202,56011,89790,16784,37175,23829,15474,20323,11393,34425,109229,331219,51450,2240,37945,76484,6940,26296,17277,10808,23833,418690,37011,12266,13342,8707,31031,10754,100313,14904,23313,11898,12100,15520,36286,23983,17690,61101,30305,23082,37633,468497,34211,7320,9223,94224,22532,82809,26958,21995,43166,30068,17954,137739,153392,6600,11484,41431,40202,53559,17980,37862,28546,69792,159277,17165,6479,49447,247564,17246,5747,40071,5630,23937,14593,8321,28880,6596,136673,54049,22814,7499,81266,41956,16752,12892,181587,246063,3901,31622,12466,95137,18120,229074,99795,25522,25110,94960,454335,22462,15457,28310
